"id","text","createdAt","likeCount","replyCount","commentLanguage","awemeId","isAuthorLiked","user.id","user.username","user.displayName","user.url","user.bio","user.avatarUrl","user.region","user.language","user.hasEmail","user.hasPhone"
"7546432635157922568","","2025-09-05T02:52:55.000Z","1","1","un","7373995128668622085","false","6925671618317796353","defhbrush_","defh","https://www.tiktok.com/@defhbrush_","","https://p77-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0a7f27d790984975293d595092a269c0~tplv-tiktokx-cropcenter-q:100:100:q70.heic?dr=9606&idc=no1a&ps=87d6e48a&refresh_token=d9eb8945&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1758956400&x-signature=9l7MGy%2BCitUg1nT9Y1f78YIxGp0%3D","ID","id","false","false"
"7552786679767417616","sy menolak penyiaran","2025-09-22T05:50:00.000Z","0","0","ms","7373995128668622085","false","7040800114495472666","hartoyotoy347","Hartoyo Toy347","https://www.tiktok.com/@hartoyotoy347","","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7327748712380399617~tplv-tiktokx-cropcenter-q:100:100:q70.heic?dr=9606&idc=no1a&ps=87d6e48a&refresh_token=8dd503b0&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1758956400&x-signature=4dVye0hU3M58mGsG9qcZjBKgapU%3D","ID","id","false","false"
"7374056619292984070","otw jadi korut pelan"" jir","2024-05-28T14:26:03.000Z","13177","47","id","7373995128668622085","false","6552431916263964673","walahxi","waduh","https://www.tiktok.com/@walahxi","","https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/61c83700a4fdd4bbe574650e2eb08a3f~tplv-tiktokx-cropcenter-q:100:100:q70.heic?dr=9606&idc=no1a&ps=87d6e48a&refresh_token=141f25a0&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1758956400&x-signature=Q%2BqsmVU9Hae2rEqk0ABirVF7L%2BI%3D","ID","id","false","false"
"7549365860789076754","RUU penyiaran upaya membungkam suara rakyat","2025-09-13T00:35:31.000Z","0","0","id","7373995128668622085","false","6945453466722780162","nisa90012","nisa90012","https://www.tiktok.com/@nisa90012","","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter-q:100:100:q70.heic?dr=9606&idc=no1a&ps=87d6e48a&refresh_token=c2e33f4a&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1758956400&x-signature=XzKMMsGovJStmClX%2Brs7BmLvRj4%3D","ID","id","false","false"
"7374302849323811590","professor money heist","2024-05-29T06:21:37.000Z","40","2","en","7373995128668622085","false","7010799017257206789","akukehampaan","aku mau ngomong pls","https://www.tiktok.com/@akukehampaan","Lookism, Battleboarding, Naruto, Valorant 
Discord : narutoenthusiast","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7f11ced2ca0f73ea3446f8ab40c18c5d~tplv-tiktokx-cropcenter-q:100:100:q70.heic?dr=9606&idc=no1a&ps=87d6e48a&refresh_token=46c79fda&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1758956400&x-signature=CxXh0FDHsiwehy2LTm9138MLtWM%3D","ID","en","false","false"
"7548076198434472725","no viral no justice","2025-09-09T13:10:46.000Z","1","0","en","7373995128668622085","false","6572821229668401153","kota_angin27","kota angin27","https://www.tiktok.com/@kota_angin27","ayip syaripudin 
blok garatengah desa cihaur","https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ca40c009092cb73615c70069f4a9c97d~tplv-tiktokx-cropcenter-q:100:100:q70.heic?dr=9606&idc=no1a&ps=87d6e48a&refresh_token=00736f28&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1758956400&x-signature=KlmcHkA27t2%2BLcyBiMnaSI6qYfc%3D","ID","id","false","false"
"7548395210834346770","#tolakRUUpenyiaran","2025-09-10T09:48:43.000Z","1","0","ms","7373995128668622085","false","7389702837309785094","muhammad.adam.alf7","tabarakallah jaya","https://www.tiktok.com/@muhammad.adam.alf7","","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b00887d9739fc1f8074035b040f87405~tplv-tiktokx-cropcenter-q:100:100:q70.heic?dr=9606&idc=no1a&ps=87d6e48a&refresh_token=1ba51cfb&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1758956400&x-signature=nRg00MT7POWzgQoLz3%2BQtz8S8sc%3D","ID","id","false","false"
"7549568724598227720","# save fery irwandi","2025-09-13T13:42:35.000Z","2","0","id","7373995128668622085","false","6915662227521946626","ditekmich0","Ditek Mich","https://www.tiktok.com/@ditekmich0","BANTU LIKE YA","https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3a42e8d6f6f52730b6bf55dcbfb57ff4~tplv-tiktokx-cropcenter-q:100:100:q70.heic?dr=9606&idc=no1a&ps=87d6e48a&refresh_token=e8d056c9&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1758956400&x-signature=wH33o4wcdg%2BA%2FalrWWqlmsyFZnY%3D","ID","id","false","false"
"7544884266837181185","Menolak ruu penyiaran","2025-08-31T22:44:38.000Z","0","0","id","7373995128668622085","false","6964969788607415297","ariefahbaroroh","ariefahbaroroh","https://www.tiktok.com/@ariefahbaroroh","","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/09f4b3748e0b369fe909242ebbf0c4e8~tplv-tiktokx-cropcenter-q:100:100:q70.heic?dr=9606&idc=no1a&ps=87d6e48a&refresh_token=a548809a&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1758956400&x-signature=JrjEQIGskSRrWpkmBoDgqWlp9ew%3D","ID","id","false","false"
"7549164882047419154","DPR RI balik modal buat tim dan parpol","2025-09-12T11:35:24.000Z","0","0","id","7373995128668622085","false","7250093444311499784","irsanpidri8","serabutan","https://www.tiktok.com/@irsanpidri8","","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2dc6ec7025eafcb93efc5d865af3e553~tplv-tiktokx-cropcenter-q:100:100:q70.heic?dr=9606&idc=no1a&ps=87d6e48a&refresh_token=feb38d79&s=COMMENT_LIST&sc=avatar&shcp=ff37627b&shp=30310797&t=223449c4&x-expires=1758956400&x-signature=ETIrCEic%2F1Uq02xpaxHwfksuyYU%3D","ID","id","false","false"
